Date,Sum of Weekly_Sales,forecastValue,confidenceHighBound,confidenceLowBound
2012-11-09 00:00:00,,46594254.062979236,61061899.26968841,32126608.85627006
2012-11-16 00:00:00,,46360283.606995575,61022134.834141485,31698432.379849665
2012-11-23 00:00:00,,50965404.847497344,65818923.11714326,36111886.57785143
2012-11-30 00:00:00,,48380345.16117303,63423088.54682081,33337601.77552525
2012-12-07 00:00:00,,48294675.29116476,63524292.88801187,33065057.694317654
2012-12-14 00:00:00,,47503011.796293184,62917238.20328294,32088785.38930343
2012-12-21 00:00:00,,48297340.3854412,63893990.644573286,32700690.126309108
2012-12-28 00:00:00,,45672655.384251796,61449620.3295583,29895690.438945293
2013-01-04 00:00:00,,47367924.49697436,63323166.47148465,31412682.52246406
2013-01-11 00:00:00,,44748626.27222824,60880175.1763143,28617077.36814218
2013-01-18 00:00:00,,44526949.69953269,60832899.338381246,28221000.06068413
2013-01-25 00:00:00,,43620505.016219676,60099009.71793368,27142000.314505674
