Date,Sum of CPI,forecastValue,confidenceHighBound,confidenceLowBound
2011-02-18 00:00:00,7636.195092,,,
2011-02-25 00:00:00,7644.531925,,,
2011-03-04 00:00:00,7652.8687583,,,
2011-03-11 00:00:00,7661.205591,,,
2011-03-18 00:00:00,7668.6023479,,,
2011-03-25 00:00:00,7675.6230757,,,
2011-04-01 00:00:00,7682.6438042,,,
2011-04-08 00:00:00,7689.6645319,,,
2011-04-15 00:00:00,7696.0745002,,,
2011-04-22 00:00:00,7700.9575746,,,
2011-04-29 00:00:00,7705.8406492,,,
2011-05-06 00:00:00,7710.7237233,,,
2011-05-13 00:00:00,7715.6067978,,,
2011-05-20 00:00:00,7712.3785269,,,
2011-05-27 00:00:00,7709.1502566,,,
2011-06-03 00:00:00,7705.921987,,,
2011-06-10 00:00:00,7702.6937165,,,
2011-06-17 00:00:00,7703.866185,,,
2011-06-24 00:00:00,7708.3392087,,,
2011-07-01 00:00:00,7712.8122317,,,
2011-07-08 00:00:00,7717.2852552,,,
2011-07-15 00:00:00,7721.3900573,,,
2011-07-22 00:00:00,7724.5743081,,,
2011-07-29 00:00:00,7727.7585587,,,
2011-08-05 00:00:00,7730.942809,,,
2011-08-12 00:00:00,7734.1270581,,,
2011-08-19 00:00:00,7736.7407439,,,
2011-08-26 00:00:00,7739.2593373,,,
2011-09-02 00:00:00,7741.7779284,,,
2011-09-09 00:00:00,7744.2965199,,,
2011-09-16 00:00:00,7749.1279733,,,
2011-09-23 00:00:00,7757.0432414,,,
2011-09-30 00:00:00,7764.958509,,,
2011-10-07 00:00:00,7772.873777,,,
2011-10-14 00:00:00,7780.1536649,,,
2011-10-21 00:00:00,7783.6212681,,,
2011-10-28 00:00:00,7787.0888715,,,
2011-11-04 00:00:00,7790.5564751,,,
2011-11-11 00:00:00,7794.0240806,,,
2011-11-18 00:00:00,7798.521138,,,
2011-11-25 00:00:00,7803.4299782,,,
2011-12-02 00:00:00,7808.3388181,,,
2011-12-09 00:00:00,7813.2476583,,,
2011-12-16 00:00:00,7818.4499339,,,
2011-12-23 00:00:00,7824.0434575,,,
2011-12-30 00:00:00,7829.636982,,,
2012-01-06 00:00:00,7835.2305035,,,
2012-01-13 00:00:00,7840.8240277,,,
2012-01-20 00:00:00,7844.3158721,,,
2012-01-27 00:00:00,7847.8077151,,,
2012-02-03 00:00:00,7851.299559,,,
2012-02-10 00:00:00,7854.7914023,,,
2012-02-17 00:00:00,7859.6575216,,,
2012-02-24 00:00:00,7865.5543482,,,
2012-03-02 00:00:00,7871.4511752,,,
2012-03-09 00:00:00,7877.3480011,,,
2012-03-16 00:00:00,7882.3071704,,,
2012-03-23 00:00:00,7886.0161324,,,
2012-03-30 00:00:00,7889.7250926,,,
2012-04-06 00:00:00,7893.4340543,,,
2012-04-13 00:00:00,7897.1430151,,,
2012-04-20 00:00:00,7898.6538808,,,
2012-04-27 00:00:00,7900.1647466,,,
2012-05-04 00:00:00,7901.6756119,,,
2012-05-11 00:00:00,7903.1864778,,,
2012-05-18 00:00:00,7903.2300784,,,
2012-05-25 00:00:00,7902.6867724,,,
2012-06-01 00:00:00,7902.1434671,,,
2012-06-08 00:00:00,7901.600161,,,
2012-06-15 00:00:00,7901.4690821,,,
2012-06-22 00:00:00,7902.3685731,,,
2012-06-29 00:00:00,7903.2680644,,,
2012-07-06 00:00:00,7904.1675534,,,
2012-07-13 00:00:00,7905.0670442,,,
2012-07-20 00:00:00,7905.3085032,,,
2012-07-27 00:00:00,7905.5499628,,,
2012-08-03 00:00:00,7905.7914226,,,
2012-08-10 00:00:00,7906.0328825,,,
2012-08-17 00:00:00,7908.458716,,,
2012-08-24 00:00:00,7912.5228321,,,
2012-08-31 00:00:00,7916.5869465,,,
2012-09-07 00:00:00,7920.6510639,,,
2012-09-14 00:00:00,7924.9797152,,,
2012-09-21 00:00:00,7930.895582,,,
2012-09-28 00:00:00,7936.81145,,,
2012-10-05 00:00:00,7942.7273177,,,
2012-10-12 00:00:00,7948.6431849,,,
2012-10-19 00:00:00,7949.3675702,,,
2012-10-26 00:00:00,7949.2267102,7949.2267102,7949.2267102,7949.2267102
2012-11-02 00:00:00,,7949.219663427257,7953.520178122214,7944.9191487323
2012-11-09 00:00:00,,7949.2098167317745,7958.431998512874,7939.987634950675
2012-11-16 00:00:00,,7949.199970036292,7964.353549231565,7934.046390841019
2012-11-23 00:00:00,,7949.190123340809,7971.147715005768,7927.23253167585
2012-11-30 00:00:00,,7949.180276645327,7978.717671129419,7919.642882161234
2012-12-07 00:00:00,,7949.170429949844,7986.992261134904,7911.348598764785
2012-12-14 00:00:00,,7949.160583254362,7995.9166522057185,7902.404514303005
2012-12-21 00:00:00,,7949.1507365588795,8005.4470002883645,7892.854472829395
2012-12-28 00:00:00,,7949.140889863397,8015.547239866621,7882.734539860174
2013-01-04 00:00:00,,7949.131043167914,8026.187038681234,7872.075047654594
2013-01-11 00:00:00,,7949.121196472432,8037.340429690063,7860.901963254801
2013-01-18 00:00:00,,7949.111349776949,8048.984858495911,7849.237841057988
2013-01-25 00:00:00,,7949.101503081467,8061.100497611554,7837.10250855138
